# Tabla de verdad
# Generado a partir de un circuito ALU_1_bit_fecdfa12
# Exportado en Wed Aug 05 12:01:40 ART 2026

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

Cin INVA A ENA B ENB F[1..0] | Salida Cout
 0   1   1  0  1  1    01    |   0     0  
 0   1   1  0  1  1    10    |   1     0  
 0   1   1  0  1  1    11    |   0     1  
 0   1   1  1  0  0    00    |   0     0  
 0   1   1  1  0  0    01    |   1     0  
 0   1   1  1  0  0    10    |   0     0  
 0   1   1  1  0  0    11    |   0     0  
 0   1   1  1  0  1    00    |   0     0  
 0   1   1  1  0  1    01    |   1     0  
 0   1   1  1  0  1    10    |   0     0  
 0   1   1  1  0  1    11    |   0     0  
 0   1   1  1  1  0    00    |   0     0  
 0   1   1  1  1  0    01    |   1     0  
 0   1   1  1  1  0    10    |   0     0  
 0   1   1  1  1  0    11    |   0     0  
 0   1   1  1  1  1    00    |   0     0  
 0   1   1  1  1  1    01    |   0     0  
 0   1   1  1  1  1    10    |   1     0  
 0   1   1  1  1  1    11    |   1     0  
 1   0   0  0  0  0    00    |   0     0  
 1   0   0  0  0  0    01    |   1     0  
 1   0   0  0  0  0    10    |   0     0  
 1   0   0  0  0  0    11    |   1     0  
 1   0   0  0  0  1    00    |   0     0  
 1   0   0  0  0  1    01    |   1     0  
 1   0   0  0  0  1    10    |   0     0  
 1   0   0  0  0  1    11    |   1     0  
 1   0   0  0  1  0    00    |   0     0  
 1   0   0  0  1  0    01    |   1     0  
 1   0   0  0  1  0    10    |   0     0  
 1   0   0  0  1  0    11    |   1     0  
 1   0   0  0  1  1    00    |   0     0  
 1   0   0  0  1  1    01    |   0     0  
 1   0   0  0  1  1    10    |   1     0  
 1   0   0  0  1  1    11    |   0     1  
 1   0   0  1  0  0    00    |   0     0  
 1   0   0  1  0  0    01    |   1     0  
 1   0   0  1  0  0    10    |   0     0  
 1   0   0  1  0  0    11    |   1     0  
 1   0   0  1  0  1    00    |   0     0  
 1   0   0  1  0  1    01    |   1     0  
 1   0   0  1  0  1    10    |   0     0  
 1   0   0  1  0  1    11    |   1     0  
 1   0   0  1  1  0    00    |   0     0  
 1   0   0  1  1  0    01    |   1     0  
 1   0   0  1  1  0    10    |   0     0  
 1   0   0  1  1  0    11    |   1     0  
 1   0   0  1  1  1    00    |   0     0  
 1   0   0  1  1  1    01    |   0     0  
 1   0   0  1  1  1    10    |   1     0  
 1   0   0  1  1  1    11    |   0     1  
 1   0   1  0  0  0    00    |   0     0  
 1   0   1  0  0  0    01    |   1     0  
 1   0   1  0  0  0    10    |   0     0  
 1   0   1  0  0  0    11    |   1     0  
 1   0   1  0  0  1    00    |   0     0  
 1   0   1  0  0  1    01    |   1     0  
 1   0   1  0  0  1    10    |   0     0  
 1   0   1  0  0  1    11    |   1     0  
 1   0   1  0  1  0    00    |   0     0  
 1   0   1  0  1  0    01    |   1     0  
 1   0   1  0  1  0    10    |   0     0  
 1   0   1  0  1  0    11    |   1     0  
 1   0   1  0  1  1    00    |   0     0  
 1   0   1  0  1  1    01    |   0     0  
 1   0   1  0  1  1    10    |   1     0  
 1   0   1  0  1  1    11    |   0     1  
 1   0   1  1  0  0    00    |   0     0  
 1   0   1  1  0  0    01    |   1     0  
 1   0   1  1  0  0    10    |   1     0  
 1   0   1  1  0  0    11    |   0     1  
 1   0   1  1  0  1    00    |   0     0  
 1   0   1  1  0  1    01    |   1     0  
 1   0   1  1  0  1    10    |   1     0  
 1   0   1  1  0  1    11    |   0     1  
 1   0   1  1  1  0    00    |   0     0  
 1   0   1  1  1  0    01    |   1     0  
 1   0   1  1  1  0    10    |   1     0  
 1   0   1  1  1  0    11    |   0     1  
 1   0   1  1  1  1    00    |   1     0  
 1   0   1  1  1  1    01    |   0     0  
 1   0   1  1  1  1    10    |   1     0  
 1   0   1  1  1  1    11    |   1     1  
 1   1   0  0  0  0    00    |   0     0  
 1   1   0  0  0  0    01    |   1     0  
 1   1   0  0  0  0    10    |   1     0  
 1   1   0  0  0  0    11    |   0     1  
 1   1   0  0  0  1    00    |   0     0  
 1   1   0  0  0  1    01    |   1     0  
 1   1   0  0  0  1    10    |   1     0  
 1   1   0  0  0  1    11    |   0     1  
 1   1   0  0  1  0    00    |   0     0  
 1   1   0  0  1  0    01    |   1     0  
 1   1   0  0  1  0    10    |   1     0  
 1   1   0  0  1  0    11    |   0     1  
 1   1   0  0  1  1    00    |   1     0  
 1   1   0  0  1  1    01    |   0     0  
 1   1   0  0  1  1    10    |   1     0  
 1   1   0  0  1  1    11    |   1     1  
 1   1   0  1  0  0    00    |   0     0  
 1   1   0  1  0  0    01    |   1     0  
 1   1   0  1  0  0    10    |   1     0  
 1   1   0  1  0  0    11    |   0     1  
 1   1   0  1  0  1    00    |   0     0  
 1   1   0  1  0  1    01    |   1     0  
 1   1   0  1  0  1    10    |   1     0  
 1   1   0  1  0  1    11    |   0     1  
 1   1   0  1  1  0    00    |   0     0  
 1   1   0  1  1  0    01    |   1     0  
 1   1   0  1  1  0    10    |   1     0  
 1   1   0  1  1  0    11    |   0     1  
 1   1   0  1  1  1    00    |   1     0  
 1   1   0  1  1  1    01    |   0     0  
 1   1   0  1  1  1    10    |   1     0  
 1   1   0  1  1  1    11    |   1     1  
 1   1   1  0  0  0    00    |   0     0  
 1   1   1  0  0  0    01    |   1     0  
 1   1   1  0  0  0    10    |   1     0  
 1   1   1  0  0  0    11    |   0     1  
 1   1   1  0  0  1    00    |   0     0  
 1   1   1  0  0  1    01    |   1     0  
 1   1   1  0  0  1    10    |   1     0  
 1   1   1  0  0  1    11    |   0     1  
 1   1   1  0  1  0    00    |   0     0  
 1   1   1  0  1  0    01    |   1     0  
 1   1   1  0  1  0    10    |   1     0  
 1   1   1  0  1  0    11    |   0     1  
 1   1   1  0  1  1    00    |   1     0  
 1   1   1  0  1  1    01    |   0     0  
 1   1   1  0  1  1    10    |   1     0  
 1   1   1  0  1  1    11    |   1     1  
 1   1   1  1  0  0    00    |   0     0  
 1   1   1  1  0  0    01    |   1     0  
 1   1   1  1  0  0    10    |   0     0  
 1   1   1  1  0  0    11    |   1     0  
 1   1   1  1  0  1    00    |   0     0  
 1   1   1  1  0  1    01    |   1     0  
 1   1   1  1  0  1    10    |   0     0  
 1   1   1  1  0  1    11    |   1     0  
 1   1   1  1  1  0    00    |   0     0  
 1   1   1  1  1  0    01    |   1     0  
 1   1   1  1  1  0    10    |   0     0  
 1   1   1  1  1  0    11    |   1     0  
 1   1   1  1  1  1    00    |   0     0  
 1   1   1  1  1  1    01    |   0     0  
 1   1   1  1  1  1    10    |   1     0  
 1   1   1  1  1  1    11    |   0     1  
